"OBJECTID";"carr_way_n";"road_id";"road_name";"start_name";"end_name";"location";"latest";"count_date";"peak_hour";"count_dura";"adt";"peaktraffi";"pccar";"pclcv";"pcmcv";"pchcvi";"pchcvii";"pcbus";"pcheavy";"NZTMX";"NZTMY"
"         1";"     23788";"     50888";"BRAMLEY DR";"FIELDING CRES (WEST)";"FIELDING CRES (EAST)";"       522";"Yes";"2002-03-21T00:00:00.000Z";"                                                                                ";"                                                                                ";"       451";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";"                                                                                ";" 1767774.514299999922514";" 5915373.475100000388920"
"         2";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       230";"Yes";"2012-03-22T00:00:00.000Z";"1700";"                                                                                ";"      3831";"407";"92";"4";"3";"1";"0";"0";"4";" 1752206.097000000067055";" 5876720.502000000327826"
"         3";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       221";"No";"2005-04-13T00:00:00.000Z";"17:00";"                                                                                ";"      3731";"356";"93";"3";"3";"1";"0";"0";"4";" 1752213.622599999886006";" 5876715.567699999548495"
"         4";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       236";"No";"2007-04-01T00:00:00.000Z";"08:00";"                                                                                ";"      3854";"389";"93";"3";"3";"0";"1";"0";"4";" 1752201.079799999948591";" 5876723.791600000113249"
"         5";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       236";"No";"2007-03-13T00:00:00.000Z";"17:00";"                                                                                ";"      2276";"323";"92";"4";"3";"0";"1";"0";"4";" 1752201.079799999948591";" 5876723.791600000113249"
"         6";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       241";"No";"2006-03-16T00:00:00.000Z";"18:00";"                                                                                ";"      3929";"386";"92";"3";"3";"1";"1";"0";"5";" 1752196.898899999912828";" 5876726.532899999991059"
"         7";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       236";"No";"2008-03-13T00:00:00.000Z";"17:00";"                                                                                ";"      4262";"421";"92";"4";"3";"1";"0";"0";"4";" 1752201.079799999948591";" 5876723.791600000113249"
"         8";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       245";"No";"2009-03-22T00:00:00.000Z";"08:00";"                                                                                ";"      3871";"396";"93";"3";"2";"1";"1";"0";"4";" 1752193.554199999896809";" 5876728.725899999961257"
"         9";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       220";"No";"2010-03-17T00:00:00.000Z";"800";"7D";"      4075";"406";"92";"3";"3";"1";"1";"0";"5";" 1752214.458799999905750";" 5876715.019399999640882"
"        10";"     34813";"     70028";"AWHITU RD";"KING ST (SUMPS RHS)";"MILLBROOK DR";"       240";"No";"2011-05-11T00:00:00.000Z";"0800";"                                                                                ";"      3690";"390";"92";"3";"3";"1";"1";"0";"5";" 1752197.735099999932572";" 5876725.984600000083447"
